track_name,artist_name,artist_genres
Hurry Up Tomorrow,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
I Can't Fucking Sing,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
I Can't Wait To Get There,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Without a Warning,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Cry For Me,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Drive,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Enjoy The Show (feat. Future),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Give Me Mercy,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Given Up On Me,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Red Terror,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
"Reflections Laughing (feat. Travis Scott, Florence + The Machine)",The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
São Paulo (feat. Anitta),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Niagara Falls,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Open Hearts,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Opening Night,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
let me fall,Ex Habit,dark r&b
Striptease,FKA twigs,"art pop, alternative r&b"
Greedy,MARSTEREON,deep house
her name,Beneld,dark r&b
Changes,Blasterjaxx,"big room, edm"
Poison In My Veins,Elvis Drew,dark r&b
Soda Soda,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
3ayez Salamtak,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Ana Mesheet,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Baseet,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Habebna,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Law Tigi,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Moftakedni,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Omri Eli Fat,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Tigi Nehareb,Ahmed Saad,"mahraganat, egyptian pop, egyptian shaabi, khaleeji"
Back In Love,Thierry Von Der Warth,tropical house
DtMF,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
EoO,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
BAILE INoLVIDABLE,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
NUEVAYoL,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
kisses in the wind,Lil Peep,"emo rap, cloud rap"
Overdrive (Alive),HUTS,slap house
BMF,SZA,r&b
I'm Sorry,Besomorph,slap house
Moonlight Shadow,Clouded.,slap house
I See,Rumelis,dark r&b
I See - Sped Up,Rumelis,dark r&b
when he holds u close,Omido,dark r&b
Show Me,BURY,dark r&b
Freaks,TRFN,"slap house, g-house"
Viva La Vida,Ericovich,nightcore
Only Wanna Dream,GYMBRO,hypertechno
APT.,ROSÉ,k-pop
toxic till the end,ROSÉ,k-pop
Drip Down,Tungevaag,big room
One Call,Nic Dean,dark r&b
KHÔNG SAO CẢ (feat. 7dnight),RAP VIỆT,"vietnamese hip hop, v-pop"
luther (with sza),Kendrick Lamar,"hip hop, west coast hip hop"
Defying Gravity,Cynthia Erivo,musicals
squabble up,Kendrick Lamar,"hip hop, west coast hip hop"
Panda Eyes,Drenchill,slap house
How Deep Is Your Love,MetaBoy,"afro house, hypertechno"
Not Alone - Acoustic Version,Gabry Ponte,"slap house, italo dance"
15 Minutes,mavzy grx,hypertechno
"Aa Zara (From Murder 2"")""",Sunidhi Chauhan,"bollywood, desi, hindi pop"
Downtown Lover,Besomorph,slap house
The Fall,Cody Johnson,"texas country, country, red dirt"
over my dead body,Ex Habit,dark r&b
midnight,kobzx2z,"funkot, lagu jawa"
GODS,Ericovich,nightcore
Forever Young,David Guetta,edm
ALWAYS BEEN YOU,Chris Grey,dark r&b
MAKE THE ANGELS CRY,Chris Grey,dark r&b
House Again,Hudson Westbrook,country
Precious,Omido,dark r&b
Somebody That I Used To Know,Prezioso,italo dance
Guess featuring billie eilish,Charli xcx,"hyperpop, art pop"
Lose Myself Tonight,TØRISMAD,hypertechno
"Girl, so confusing featuring lorde",Charli xcx,"hyperpop, art pop"
Acapulco,BRAN,"afro house, slap house"
PUSH 2 START,Tyla,afrobeats
Rock My Body,Westerlund,hypertechno
Sympathy is a knife featuring ariana grande,Charli xcx,"hyperpop, art pop"
Von dutch a. g. cook remix featuring addison rae,Charli xcx,"hyperpop, art pop"
Heart of Stone,Jelly Roll,"country hip hop, country"
In My Bed,VAMERO,slap house
Paradise,DJSM,"hypertechno, hard techno"
Espresso,Crystal Rock,slap house
Moonlit Floor (Kiss Me),LISA,k-pop
Allein Allein - BENNETT Remix,Alok,"brazilian bass, electronic, slap house, electro house"
say my name,BURY,dark r&b
This Little Girl,Ericovich,nightcore
Timeless (feat. Playboi Carti),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Tu Boda,Oscar Maydon,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño, sierreño"
Hung Up,Faruk Orman,slap house
Black & Gold,Imanbek,slap house
LIL DEMON,Future,rap
nothing to u,Lil Peep,"emo rap, cloud rap"
high school,Lil Peep,"emo rap, cloud rap"
praying to the sky,Lil Peep,"emo rap, cloud rap"
the way i see things,Lil Peep,"emo rap, cloud rap"
veins,Lil Peep,"emo rap, cloud rap"
another song,Lil Peep,"emo rap, cloud rap"
five degrees,Lil Peep,"emo rap, cloud rap"
life force,ptasinski,phonk
Dancing In The Flames,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
What Kinda Man,Parker McCollum,"texas country, red dirt, country"
Move,midnight Berlin,hypertechno
Keep Your Eyes Peeled,ULTRA SUNN,"darkwave, cold wave, ebm, post-punk, gothic rock"
Don’t Mind If I Do (ft. Ella Langley),Riley Green,country
Ghost,Gulmee,hypertechno
The Emptiness Machine,Linkin Park,"nu metal, rap metal, rock, alternative metal"
Gothic Castle Gates,Andrei Krylov,"medieval, celtic"
Sun Comes Down,Iaco,"stutter house, tropical house"
